,PERGUNTA,Obs,Tema,Nota G,Nota M,Final,Discrepância,Obs,,,,,
,Se fizessem um filme sobre a sua vida qual seria o enredo?,,Perguntas boas,4,"6,5","5,25","-1,25",,,,,,
,Em quais áreas você não tem bom gosto?,,Perguntas boas,9,5,7,2,,,,,,
,O que da vida social é frustrante para você?,,Perguntas boas,10,"8,5","9,25","0,75",,,,,,
,Porque você ainda está aqui?,,Perguntas poderosas,9,10,"9,5","-0,5",,,,,,
,Quando vc vai começar?,,Perguntas poderosas,8,10,9,-1,,,,,,
,O que você poderia oferecer para uma sociedade utópica?,,Perguntas utópicas,8,7,"7,5","0,5",,,,,,
,O que está querendo morrer em você?,,Perguntas boas,6,9,"7,5","-1,5",,,,,,
,O que está querendo nascer em você?,,Perguntas boas,6,9,"7,5","-1,5",,,,,,
,Qual pessoa te inspirou a ser muito de quem você é hoje?,,Perguntas boas,9,"8,5","8,75","0,25",,,,,,
,Quais as consequências de ser rígida consigo?,,Perguntas boas,7,6,"6,5","0,5",Dá pra escrever melhor,,,,,
,O que você precisa para estar pronta?,,Perguntas poderosas,7,"9,5","8,25","-1,25",,,,,,
,"Na politica brasileira, o que você quer preservar?",,Perguntas políticas,4,9,"6,5","-2,5",,,,,,
,O que posso mudar em mim para dar o próximo passo?,,Perguntas boas,3,8,"5,5","-2,5",se vier zerado pode perder potencia,,,,,
,O que é suficiente?,,Perguntas poderosas,9,6,"7,5","1,5",,,,,,
,O que você costuma fazer para se valorizar mais?,,Perguntas boas,6,6,6,0,,,,,,
,Qual foi a sua primeira impressão das pessoas aqui?,,Perguntas boas,,,0,0,repetida,,,,,
,"Se você pudesse fazer um projeto de lei tendo a certeza que ele seria aprovado, qual seria?",,Perguntas boas,4,9,"6,5","-2,5",política?,,,,,
,Qual seu super-poder?,,Perguntas boas,8,9,"8,5","-0,5",,,,,,
,O que você inveja nas pessoas aqui?,,Perguntas pra roda,9,9,9,0,,,,,,
,O que você já fez de legal?,,Perguntas boas,9,6,"7,5","1,5",,,,,,
,O que falta para você conseguir?,,Perguntas poderosas,6,10,8,-2,,,,,,
,Para quem você ligaria agora para falar que ama?,,Perguntas boas,10,10,10,0,,,,,,
,Qual melhor conselho você já recebeu?,,Perguntas boas,8,9,"8,5","-0,5",,,,,,
,Qual melhor conselho você já deu?,,Perguntas boas,10,9,"9,5","0,5",,,,,,
,Do que você não abre mão?,,Perguntas boas,10,9,"9,5","0,5",,,,,,
,"Se você tivesse certeza que não falharia, o que você faria?",,Perguntas boas,8,,4,4,,,,,,
,O que é sucesso para você?,,Perguntas boas,"8,5",9,"8,75","-0,25",,,,,,
,O que você quer?,,Perguntas boas,8,9,"8,5","-0,5",,,,,,
,O que você está buscando?,,Perguntas boas,8,,4,4,"semelhante a de cima, repetida com a 21",,,,,
,"Se felicidade fosse um tripé, quais seriam os 3 pilares para você?",,Perguntas boas,7,9,8,-1,,,,,,
,Do que você gosta?,,Perguntas boas,4,9,"6,5","-2,5",,,,,,
,Qual super poder você gostaria de ter?,,Perguntas boas,5,9,7,-2,,,,,,
,"Se você fosse uma batata, como você seria servida?",,Perguntas descontraídas,4,9,"6,5","-2,5",,,,,,
,"Se você pudesse impedir que alguma coisa acontecesse, o que seria?",,Perguntas boas,2,10,6,-4,complexa de responder,,,,,
,,,,,,,0,,,,,,
,O que você coloca acima de qualquer coisa?,,Perguntas boas,9,9,9,0,,,,,,
,O que você apreciou hoje?,,Perguntas boas,2,9,"5,5","-3,5",,,,,,
,Onde você gostaria de estar agora?,,Perguntas boas,5,9,7,-2,,,,,,
,Qual foi a sua última reclamação?,,Perguntas boas,5,"8,5","6,75","-1,75",,,,,,
,Qual super poder você não gostaria de ter?,,Perguntas boas,8,9,"8,5","-0,5",,,,,,
,"O que, se acontecesse agora, seria progredir para você?",,Perguntas boas,8,7,"7,5","0,5",,,,,,
,Qual boa lembrança você leva de hoje?,,Perguntas boas,6,8,7,-1,,,,,,
,Qual a melhor lembrança boa dessa última semana?,,Perguntas boas,6,8,7,-1,,,,,,
,Do que você mais se orgulha?,,Perguntas boas,10,"8,5","9,25","0,75",,,,,,
,"Se você pudesse voltar no tempo, o que gostaria de reviver?",,Perguntas boas,7,8,"7,5","-0,5",,,,,,
,"Se você pudesse voltar no tempo, o que gostaria de viver novamente?",,Perguntas boas,,8,4,-4,"ué, igual a de cima",,,,,
,De qual relação você mais se orgulha?,,Perguntas boas,8,9,"8,5","-0,5",,,,,,
,Em qual relação você se sente muito confiante?,,Perguntas boas,3,7,5,-2,,,,,,
,Em qual relação você se sente muito segura?,,Perguntas boas,3,7,5,-2,,,,,,
,Em qual relação você se sente muito alegre?,,Perguntas boas,3,7,5,-2,,,,,,
,Em qual relação você se sente muito confortável?,,Perguntas boas,1,8,"4,5","-3,5",,,,,,
,Em qual relação você se sente muito descontraída?,,Perguntas boas,1,7,4,-3,,,,,,
,Qual situação te provoca alívio?,,Perguntas boas,4,6,5,-1,,,,,,
,Qual situação te provoca ternura?,,Perguntas boas,1,6,"3,5","-2,5",,,,,,
,Qual situação te provoca gargalhadas?,,Perguntas boas,1,6,"3,5","-2,5",,,,,,
,Qual situação te provoca sono?,,Perguntas boas,2,6,4,-2,,,,,,
,"Se você fosse morrer, mas recebeu o direito a uma última refeição, qual seria?",,Perguntas descontraídas,,,0,0,repetida,,,,,
,Qual a última prova de amor que você deu para você mesma?,,Perguntas boas,8,8,8,0,,,,,,
,Qual caracterísitca dos seus amigos mais de te orgulha?,,Perguntas boas,9,8,"8,5","0,5",,,,,,
,Qual foi uma boa decisão que você tomou na sua vida?,,Perguntas boas,6,"8,5","7,25","-1,25",,,,,,
,Como é seu melhor relacionamento?,,Perguntas boas,8,"8,5","8,25","-0,25",,,,,,
,O que você faz bem?,,Perguntas boas,9,9,9,0,,,,,,
,Com o que você se diverte?,,Perguntas boas,5,8,"6,5","-1,5",,,,,,
,O que te sobra para ser alegre?,,Perguntas boas,0,6,3,-3,"sobra parece que a pessoa tem pouco, não? dá pra melhorar a forma de escrever",,,,,
,O que você faz para alguém quando gosta desse alguém?,,Perguntas boas,6,"8,5","7,25","-1,25",talvez reescrever,,,,,
,Como você se sente amada?,,Perguntas boas,9,9,9,0,,,,,,
,O que te faz se apaixonar?,,Perguntas boas,7,7,7,0,dá pra escrever melhor,,,,,
,"Se você pudesse ser outra pessoa, quem você seria?",,Perguntas boas,6,8,7,-1,,,,,,
,O que você gostaria de fazer melhor?,,Perguntas boas,6,"8,5","7,25","-1,25",,,,,,
,O que você gostaria de aprender?,,Perguntas boas,8,9,"8,5","-0,5",,,,,,
,O que você gostaria de criar?,,Perguntas boas,10,9,"9,5","0,5",,,,,,
,"Se você pudesse deixar algo mais prático, o que seria?",,Perguntas boas,,8,4,-4,?,,,,,
,"Se você pudesse fazer com que algum recurso deixasse de ser escasso, qual seria?",,Perguntas boas,7,8,"7,5","-0,5",,,,,,
,No que você acerta?,,Perguntas boas,8,"9,5","8,75","-0,75",,,,,,
,Onde você se destaca?,,Perguntas boas,9,9,9,0,,,,,,
,Qual foi seu último episódio criativo?,,Perguntas boas,7,8,"7,5","-0,5",vale reescrever?,,,,,
,Você gostaria de ter um botão de voltar ou de pausar?,,Perguntas boas,,8,4,-4,"resposta de sim e não. O formato real é o que vc prefere? Mas sim, resposta objetiva...",,,,,
,Qual seria uma qualidade de alguém do grupo que você gostaria de ter?,,Perguntas pra roda,,9,"4,5","-4,5",,,,,,
,Quanto dinheiro você tem no banco nesse exato momento?,,Perguntas proibidas,,10,5,-5,,,,,,
,,,,,,0,0,,,,,,
,,,,,,0,0,,,,,,
,,,,,,0,0,,,,,,
,,,,,,0,0,,,,,,
,,,,,,0,0,,,,,,
,,,,,,0,0,,,,,,
,,,,,,0,0,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
,,,,,,0,,,,,,,
